timestamp,temperature.gpu,power.draw,power.limit,utilization.gpu,utilization.memory,memory.used,memory.total,clocks.gr,clocks.mem,fan.speed,pstate
2026/02/05 00:16:46.945,68,19.98,[N/A],33,10,1594,4096,1575,7000,[N/A],P0
2026/02/05 00:16:48.003,68,19.62,[N/A],33,10,1594,4096,1575,7000,[N/A],P0
2026/02/05 00:16:49.069,69,33.08,[N/A],33,10,1594,4096,1575,7000,[N/A],P0
2026/02/05 00:16:50.133,69,20.27,[N/A],34,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:16:51.205,68,20.41,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:16:52.272,69,19.75,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:16:53.341,68,19.67,[N/A],34,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:16:54.408,68,19.75,[N/A],34,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:16:55.478,69,19.71,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:16:56.545,69,19.57,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:16:57.633,69,19.72,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:16:58.699,69,19.91,[N/A],34,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:16:59.764,69,19.91,[N/A],34,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:17:00.833,69,20.05,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:17:01.902,69,19.67,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:17:02.967,69,20.12,[N/A],34,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:17:04.037,69,19.78,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:17:05.108,68,19.79,[N/A],34,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:17:06.180,69,19.65,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:17:07.247,68,19.81,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:17:08.315,68,19.77,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:17:09.380,68,19.78,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:17:10.448,68,19.47,[N/A],33,10,1615,4096,1575,7000,[N/A],P0
2026/02/05 00:17:11.531,68,18.24,[N/A],35,10,1643,4096,1575,7000,[N/A],P0
2026/02/05 00:17:12.597,69,19.86,[N/A],34,10,1656,4096,1575,7000,[N/A],P0
2026/02/05 00:17:13.669,68,19.83,[N/A],34,10,1656,4096,1575,7000,[N/A],P0
2026/02/05 00:17:14.739,68,19.74,[N/A],33,10,1656,4096,1575,7000,[N/A],P0
2026/02/05 00:17:15.805,68,19.10,[N/A],30,9,1658,4096,1575,7000,[N/A],P0
2026/02/05 00:17:16.873,69,22.69,[N/A],38,12,1658,4096,1597,7000,[N/A],P0
2026/02/05 00:17:17.944,69,21.29,[N/A],33,10,1658,4096,1575,7000,[N/A],P0
2026/02/05 00:17:19.011,69,21.52,[N/A],38,12,1658,4096,1575,7000,[N/A],P0
2026/02/05 00:17:20.078,69,21.94,[N/A],38,12,1658,4096,1575,7000,[N/A],P0
2026/02/05 00:17:21.146,68,22.51,[N/A],39,12,1658,4096,1575,7000,[N/A],P0
2026/02/05 00:17:22.214,68,12.77,[N/A],0,0,1663,4096,1575,7000,[N/A],P0
2026/02/05 00:17:23.303,68,21.35,[N/A],25,5,1719,4096,1695,7000,[N/A],P0
2026/02/05 00:17:24.854,70,28.22,[N/A],76,20,2007,4096,1695,7000,[N/A],P0
2026/02/05 00:17:25.945,70,30.25,[N/A],66,17,2007,4096,1695,7000,[N/A],P0
2026/02/05 00:17:27.031,70,31.10,[N/A],75,20,2007,4096,1695,7000,[N/A],P0
2026/02/05 00:17:28.113,71,30.80,[N/A],73,19,2007,4096,1695,7000,[N/A],P0
2026/02/05 00:17:29.200,71,30.92,[N/A],74,20,2007,4096,1695,7000,[N/A],P0
2026/02/05 00:17:30.285,71,30.85,[N/A],72,19,2007,4096,1695,7000,[N/A],P0
2026/02/05 00:17:31.370,70,30.08,[N/A],69,19,2006,4096,1695,7000,[N/A],P0
2026/02/05 00:17:32.468,71,19.32,[N/A],40,13,1997,4096,1695,7000,[N/A],P0
2026/02/05 00:17:33.557,71,28.46,[N/A],58,23,1996,4096,1695,7000,[N/A],P0
